global index,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
20640,726506,4840,FOND DU LAC COUNTY AIRPORT,US,WI,KFLD,43.769,-88.491,246.0,19990101,20201227
20648,726510,14944,JOE FOSS FIELD AIRPORT,US,SD,KFSD,43.578,-96.754,435.3,19421001,20201227
20654,726516,24024,PHILIP AIRPORT,US,SD,KPHP,44.051,-101.601,672.4,19980702,20201228
20669,726540,14936,HURON REGIONAL AIRPORT,US,SD,KHON,44.398,-98.223,390.1,19730101,20201228
20675,726546,14946,WATERTOWN MUNICIPAL ARPT,US,SD,KATY,44.905,-97.149,532.8,19480101,20201227
20682,726550,14926,ST CLOUD REGIONAL AIRPORT,US,MN,KSTC,45.543,-94.051,310.3,19730101,20201228
20691,726557,14910,CHANDLER FIELD AIRPORT,US,MN,KAXN,45.868,-95.394,431.6,19730101,20201228
20731,726580,14922,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,US,MN,KMSP,44.883,-93.229,265.8,19450101,20201227
20734,726584,14927,ST PAUL DWTWN HOLMAN FD AP,US,MN,KSTP,44.932,-93.056,213.4,19831103,20201227
20746,726590,14929,ABERDEEN REGIONAL AIRPORT,US,SD,KABR,45.443,-98.413,395.3,19730101,20201227
20757,726620,24090,RAPID CITY REGIONAL AIRPORT,US,SD,KRAP,44.046,-103.054,963.2,19730101,20201227
20758,726625,24006,ELLSWORTH AIR FORCE BASE,US,SD,KRCA,44.15,-103.1,999.1,19390201,20201228
20762,726627,94037,BUFFALO,US,SD,K2WX,45.604,-103.546,915.6,19990101,20201227
20772,726660,24029,SHERIDAN COUNTY AIRPORT,US,WY,KSHR,44.769,-106.969,1202.4,19730101,20201227
20774,726664,94173,YELLOWSTONE,US,WY,KP60,44.544,-110.421,2388.1,19790322,20201227
20802,726710,24164,BIG PINEY-MARBLETON ARPT,US,WY,KBPI,42.584,-110.108,2124.5,19990101,20201227
20814,726770,24033,BILLINGS LOGAN INTERNATIONAL AIRPORT,US,MT,KBIL,45.807,-108.542,1091.5,19350501,20201227
20817,726776,24036,LEWISTOWN MUNICIPAL ARPT,US,MT,KLWT,47.049,-109.458,1263.4,19420401,20201227
20825,726797,24132,GALLATIN FIELD AIRPORT,US,MT,KBZN,45.788,-111.161,1349.4,19730101,20201227
20826,726798,24150,MISSION FIELD AIRPORT,US,MT,KLVM,45.698,-110.441,1415.2,19730101,20201228
20829,726810,24131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,US,ID,KBOI,43.567,-116.241,857.7,19310101,20201228
20832,726815,24106,MOUNTAIN HOME AFB AIRPORT,US,ID,KMUO,43.05,-115.867,913.2,19320101,20201227
20836,726817,24154,MULLAN PASS,US,ID,KMLP,47.457,-115.645,1837.3,19960702,20201228
20838,726818,94194,REXBURG-MADISON COUNTY APT,US,ID,KRXE,43.832,-111.808,1481.9,19990102,20201228
20839,726824,4112,STANLEY RANGER STATION,US,ID,KSNT,44.171,-114.927,1979.7,19990102,20201227
20840,726830,94185,BURNS MUNICIPAL AIRPORT,US,OR,KBNO,43.595,-118.956,1261.9,19730101,20201227
20846,726837,24162,ONTARIO MUNICIPAL AIRPORT,US,OR,KONO,44.021,-117.013,668.4,19730101,20201228
20861,726875,94107,ROME STATE AIRPORT,US,OR,KREO,42.591,-117.864,1234.4,19980302,20201227
20865,726880,24155,EASTERN OR REGIONAL AT PENDLETON AP,US,OR,KPDT,45.698,-118.855,452.9,19420101,20201227
20870,726884,24148,LA GRANDE/UNION COUNTY APT,US,OR,KLGD,45.283,-118.0,826.9,19880506,20201227
20872,726885,24152,MEACHAM,US,OR,KMEH,45.511,-118.425,1134.8,19730101,20201227
20873,726886,24130,BAKER CITY MUNICIPAL ARPT,US,OR,KBKE,44.843,-117.809,1024.4,19730101,20201227
20874,726887,99999,SUNRIVER,US,OR,KS21,43.876,-121.453,1269.2,19800514,20201226
20876,726904,24231,ROSEBURG REGIONAL AIRPORT,US,OR,KRBG,43.239,-123.355,160.0,19800514,20201227
20882,726917,24284,NORTH BEND MUNICIPAL ARPT,US,OR,KOTH,43.413,-124.244,5.2,19770101,20201227
20885,726930,24221,MAHLON SWEET FIELD AIRPORT,US,OR,KEUG,44.128,-123.221,107.6,19730101,20201227
20886,726940,24232,MCNARY FIELD AIRPORT,US,OR,KSLE,44.905,-123.001,62.5,19730101,20201227
20901,726980,24229,PORTLAND INTERNATIONAL AIRPORT,US,OR,KPDX,45.596,-122.609,5.8,19360501,20201228
20908,726988,24219,MUNICIPAL AIRPORT,US,WA,KDLS,45.619,-121.166,71.6,19730101,20201227
20925,727120,14607,CARIBOU MUNICIPAL AIRPORT,US,ME,KCAR,46.871,-68.017,190.2,19730101,20201227
20927,727130,14604,NERN MAINE RGNL ARPT AT PRESQUE IS AIRPORT,US,ME,KPQI,46.683,-68.05,162.8,19411101,20201228
20948,727340,14847,SAULT STE MARIE MUNI/SASN FIELD AP,US,MI,KANJ,46.479,-84.357,220.1,19730101,20201227
20954,727347,14841,PELLSTON REGIONAL ARPT OF EMMET COUNTY ARPT,US,MI,KPLN,45.564,-84.793,214.9,19730101,20201227
20970,727430,94850,MARQUETTE MICHIGAN COUNTY AP (WFO),US,MI,KMQT,46.531,-87.549,431.3,19730101,20201226
20983,727440,14858,HOUGHTON COUNTY MEMO ARPT,US,MI,KCMX,47.169,-88.489,333.8,19730101,20201227
20993,727450,14913,DULUTH INTERNATIONAL AIRPORT,US,MN,KDLH,46.837,-92.183,436.8,19480101,20201227
20996,727453,94967,PK RPDS MUNI-KONSHOK FD AP,US,MN,KPKD,46.901,-95.068,437.1,19900111,20201227
20999,727455,94931,CHISHOLM-HIBBING AIRPORT,US,MN,KHIB,47.386,-92.839,412.1,19730101,20201227
21016,727470,14918,FALLS INTERNATIONAL AIRPORT,US,MN,KINL,48.561,-93.398,360.6,19730101,20201227
21023,727476,94961,BAUDETTE INTERNATIONAL APT,US,MN,KBDE,48.717,-94.6,329.8,19831104,20201227
21055,727530,14914,HECTOR INTERNATIONAL AIRPORT,US,ND,KFAR,46.925,-96.811,274.3,19480101,20201228
21059,727535,14919,JAMESTOWN REGIONAL AIRPORT,US,ND,KJMS,46.926,-98.669,455.4,19730101,20201227
21076,727575,94925,GRAND FORKS AFB AIRPORT,US,ND,KRDR,47.967,-97.4,278.3,19590303,20201227
21084,727640,24011,BISMARCK MUNICIPAL AIRPORT,US,ND,KBIS,46.783,-100.757,503.2,19360701,20201227
21087,727670,94014,SLOULIN FIELD INTERNATIONAL AIRPORT,US,ND,KISN,48.174,-103.637,579.7,19730101,20200107
21088,727675,94011,MINOT AFB AIRPORT,US,ND,KMIB,48.417,-101.35,508.1,19591001,20201228
21090,727676,24013,MINOT INTERNATIONAL ARPT,US,ND,KMOT,48.255,-101.273,507.5,19730101,20201228
21093,727680,94008,WOKAL FIELD/GLASGOW INTL AIRPORT,US,MT,KGGW,48.214,-106.621,696.5,19421210,20201227
21103,727720,24144,HELENA REGIONAL AIRPORT,US,MT,KHLN,46.606,-111.964,1166.8,19730101,20201227
21105,727730,24153,MISSOULA INTERNATIONAL AIRPORT,US,MT,KMSO,46.921,-114.093,972.9,19730101,20201227
21109,727750,24143,GREAT FALLS INTERNATIONAL AIRPORT,US,MT,KGTF,47.473,-111.382,1116.8,19730101,20201228
21110,727755,24112,MALMSTROM AFHP HELIPORT,US,MT,KGFA,47.517,-111.183,1058.3,19421201,20201227
21112,727760,99999,GREAT FALLS,US,MT,,47.45,-111.383,1130.5,19940921,20201226
21113,727770,94012,HAVRE CITY-COUNTY AIRPORT,US,MT,KHVR,48.543,-109.763,787.9,19730101,20201228
21114,727790,24146,GLACIER PARK INTERNATIONAL AIRPORT,US,MT,KGPI,48.304,-114.264,901.3,19730101,20201228
21117,727810,24243,YAKIMA AIR TERMINAL/MCALSR FIELD AP,US,WA,KYKM,46.568,-120.543,324.3,19730101,20201228
21119,727815,24237,STAMPASS PASS FLTWO,US,WA,KSMP,47.277,-121.337,1206.7,19730101,20201227
21123,727827,24110,GRANT COUNTY INTL AIRPORT,US,WA,KMWH,47.208,-119.319,364.5,19430610,20201228
21125,727830,24149,LEWISTON-NEZ PERCE COUNTY AIRPORT,US,ID,KLWS,46.375,-117.016,437.7,19730101,20201228
21133,727845,24163,TRI-CITIES AIRPORT,US,WA,KPSC,46.267,-119.117,124.1,19730101,20201227
21135,727846,24160,WALLA WALLA REGIONAL ARPT,US,WA,KALW,46.095,-118.287,355.4,19410901,20201227
21136,727850,24157,SPOKANE INTERNATIONAL AIRPORT,US,WA,KGEG,47.622,-117.528,717.2,19410811,20201228
21139,727855,24114,FAIRCHILD AIR FORCE BASE,US,WA,KSKA,47.633,-117.65,750.1,19400401,20201228
21150,727873,99999,COLVILLE MUNICIPAL ARPT,US,WA,K63S,48.544,-117.884,575.0,19890908,20201226
